name,base,peptides%,time,Rad1,Rad2,Rad3,Rad4,Rad5,Rad6,,,,,,,,,,,,
F2H8,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CCCCNC(C(CC3=CN=CN3)NC(C(CC4=CN=CN4)NC(C)=O)=O)=O)(C(NC(CCCCNC(C(CC5=CN=CN5)NC(C(CC6=CN=CN6)NC(C)=O)=O)=O)(C(NC(CC7=CN=CN7)(C(NC(CC8=CN=CN8)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,10,5,24182902,12498741,14090701,,,,,,,,,,,,,,,
F2H8,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CCCCNC(C(CC3=CN=CN3)NC(C(CC4=CN=CN4)NC(C)=O)=O)=O)(C(NC(CCCCNC(C(CC5=CN=CN5)NC(C(CC6=CN=CN6)NC(C)=O)=O)=O)(C(NC(CC7=CN=CN7)(C(NC(CC8=CN=CN8)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,20,5,6812333,6951360,767586.81,,,,,,,,,,,,,,,
F2H8,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CCCCNC(C(CC3=CN=CN3)NC(C(CC4=CN=CN4)NC(C)=O)=O)=O)(C(NC(CCCCNC(C(CC5=CN=CN5)NC(C(CC6=CN=CN6)NC(C)=O)=O)=O)(C(NC(CC7=CN=CN7)(C(NC(CC8=CN=CN8)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,50,5,99864.609,227143.03,2898031.8,,,,,,,,,,,,,,,
F2H8,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CCCCNC(C(CC3=CN=CN3)NC(C(CC4=CN=CN4)NC(C)=O)=O)=O)(C(NC(CCCCNC(C(CC5=CN=CN5)NC(C(CC6=CN=CN6)NC(C)=O)=O)=O)(C(NC(CC7=CN=CN7)(C(NC(CC8=CN=CN8)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,100,5,683387.25,150775.98,1554754.9,,,,,,,,,,,,,,,
F3H8,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CCCCNC(C(CC3=CN=CN3)NC(C(NC(C(CC4=CN=CN4)NC(C(NC(C)=O)CC5=CN=CN5)=O)=O)CC6=CN=CN6)=O)=O)(C(NC(CC7=CN=CN7)(C(NC(CC8=CN=CN8)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,5,5,213436.12,17623166,8439539,,,,,,,,,,,,,,,
F3H8,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CCCCNC(C(CC3=CN=CN3)NC(C(NC(C(CC4=CN=CN4)NC(C(NC(C)=O)CC5=CN=CN5)=O)=O)CC6=CN=CN6)=O)=O)(C(NC(CC7=CN=CN7)(C(NC(CC8=CN=CN8)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,10,5,32420752,3730237,38880624,,,,,,,,,,,,,,,
F3H8,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CCCCNC(C(CC3=CN=CN3)NC(C(NC(C(CC4=CN=CN4)NC(C(NC(C)=O)CC5=CN=CN5)=O)=O)CC6=CN=CN6)=O)=O)(C(NC(CC7=CN=CN7)(C(NC(CC8=CN=CN8)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,20,5,13236956,3150630.5,2316467.2,,,,,,,,,,,,,,,
F3H8,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CCCCNC(C(CC3=CN=CN3)NC(C(NC(C(CC4=CN=CN4)NC(C(NC(C)=O)CC5=CN=CN5)=O)=O)CC6=CN=CN6)=O)=O)(C(NC(CC7=CN=CN7)(C(NC(CC8=CN=CN8)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,50,5,6027123,6841705,7139340.5,,,,,,,,,,,,,,,
F3H8,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CCCCNC(C(CC3=CN=CN3)NC(C(NC(C(CC4=CN=CN4)NC(C(NC(C)=O)CC5=CN=CN5)=O)=O)CC6=CN=CN6)=O)=O)(C(NC(CC7=CN=CN7)(C(NC(CC8=CN=CN8)(C(N)=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,100,5,1029976.2,2911738.8,1045641.2,,,,,,,,,,,,,,,
H9,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(NC(CC8=CN=CN8)C(NC(CC9=CN=CN9)C(N)=O)=O)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,5,5,5237997,7421311.5,7188294,,,,,,,,,,,,,,,
H9,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(NC(CC8=CN=CN8)C(NC(CC9=CN=CN9)C(N)=O)=O)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,10,5,23615044,10589565,15747279,,,,,,,,,,,,,,,
H9,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(NC(CC8=CN=CN8)C(NC(CC9=CN=CN9)C(N)=O)=O)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,20,5,14404002,14983608,9829811,,,,,,,,,,,,,,,
H9,[H]C(CC1=CN=CN1)(C(NC(CC2=CN=CN2)(C(NC(CC3=CN=CN3)(C(NC(CC4=CN=CN4)(C(NC(CC5=CN=CN5)(C(NC(CC6=CN=CN6)(C(NC(CC7=CN=CN7)C(NC(CC8=CN=CN8)C(NC(CC9=CN=CN9)C(N)=O)=O)=O)=O)[H])=O)[H])=O)[H])=O)[H])=O)[H])=O)NC(C)=O,50,5,763670.56,6463786,5502344.5,,,,,,,,,,,,,,,
